Pri_dMass,Age,Pri_ProtInitial,Pri_ProtAge,Pri_ProtFinal
0.241676,2195177811.920309,2.08687,7.783078,50.406759
0.193892,1284611680.442537,2.2643,1.45917,48.776033
0.58681,4996859662.4396,1.73629,48.911706,59.640626
0.228949,4100774577.5250463,1.36154,28.445457,48.449075
0.651105,5220921694.032667,1.35376,47.742657,56.434588
0.414244,6476108606.590023,6.79788,55.367843,58.105252
0.850203,3342057001.839633,2.81553,30.487169,45.542169
0.133388,6906258514.10335,6.73956,51.148807,51.623114
0.160949,1225167853.093696,5.51694,2.696999,51.580774
0.110355,4384159892.120501,1.34011,18.902294,43.168075
0.19962,4064535211.2637367,1.72291,28.516201,48.636628
0.458318,1706891810.5151005,1.5991,14.237039,57.032351
0.438252,4117168612.1265845,10.3669,44.27642,60.026377
0.316429,1077905766.9933603,8.98858,7.935971,57.192534
0.63588,5447852453.073408,5.71362,51.779626,59.153785
0.233304,2389148913.2837043,5.4133,19.616193,53.14485
0.805326,1913720494.9751997,11.4464,24.750248,48.678937
0.511637,4434137496.878078,8.18014,47.979166,62.050691
0.35128,1446172074.4506311,5.95401,12.731337,56.435029
0.231098,2083209307.5037284,2.38765,6.803907,50.422187
0.307167,1836748265.2513974,4.82185,15.012066,55.307473
0.722457,3704122871.249851,0.904114,35.479578,51.585888
0.512952,1803414059.9208424,6.36704,26.090412,61.624914
0.271469,5600737936.768507,2.81257,44.621594,52.652605
0.110577,1673471504.930489,2.07473,1.099262,45.471849
0.172183,2774527387.3183203,5.67802,21.331671,52.02044
0.506507,2577767588.8728733,1.52461,28.734075,58.876895
0.482886,3482723092.0685306,1.02878,34.653157,57.321267
0.96103,6992777520.271932,0.886411,40.207065,40.250159
0.338317,4490748191.304756,10.5295,43.895417,57.805882
0.3768,5253307015.479396,7.79218,48.324057,57.454261
0.174385,4038054637.954477,13.8655,37.775524,54.952972
0.374779,3419097447.7606034,1.00221,27.903474,52.242903
0.300715,3113388449.922705,14.4953,34.594296,58.314266
0.494587,4190284166.0601473,1.98575,42.550677,59.055002
0.536031,1856981343.4064207,13.4774,30.024699,63.133047
0.252048,1845644207.6324244,9.96236,18.298354,55.75067
0.269951,2583505291.787223,9.56166,27.094819,56.309924
0.30221,3214579556.4761434,1.988,25.963205,52.603703
0.504815,6233907340.822735,2.81144,55.992459,59.977177
0.313801,1609108986.0512793,1.91229,4.396495,52.747898
0.817197,3000678101.2187834,3.57206,29.828992,47.28727
0.266162,1525599873.3731358,3.63752,5.31908,53.237756
0.297902,5704796511.167926,8.36375,49.663221,56.713872
0.95443,3486990472.14936,7.18814,28.258173,41.840706
0.462321,1598671608.713503,1.63668,12.510978,57.288798
0.197306,1899364349.590613,4.10843,7.202527,51.202724
0.965596,4169194815.2666473,3.47749,30.095169,40.528969
0.627656,2662772364.152313,3.35276,33.469368,58.999189
0.521259,1964063044.193089,5.38801,27.429606,61.452298
0.902365,4149939249.5820246,0.885853,31.91343,42.939621
0.170834,1305760586.1286197,1.9902,1.180208,48.269857
0.466442,2990710726.386879,14.2616,38.367872,61.883023
0.735476,2219510135.07463,2.31604,26.496777,51.613652
0.3478,3384177372.0982604,6.00305,34.350911,56.418777
0.786923,6842026190.565069,2.61072,47.96529,48.574999
0.9699,1977489629.574639,6.89951,20.488499,40.545422
0.897338,5440967780.819038,11.2917,38.821121,44.354001
0.468317,2082470975.2847648,8.20027,28.680047,60.860712
0.993837,5020981269.392281,11.468,32.252439,39.48584
0.280205,6224112909.661556,8.22073,52.136542,56.207385
0.179371,5241562498.876878,0.926402,33.223219,45.197173
0.912041,6519567776.4644165,1.41925,41.131777,42.903655
0.811684,1196175712.0703256,8.2643,18.582955,48.128647
0.143004,1552488989.414619,2.54925,1.719082,48.08412
0.271915,6125899431.428034,3.21555,48.230347,53.08604
0.444638,2957539475.8052053,8.76216,35.731026,59.956639
0.936162,2207608447.277152,7.90113,22.93568,42.594026
0.581889,5314319707.344039,3.71244,52.15955,60.833066
0.807787,1421489615.844189,10.0075,20.869643,48.460655
0.37458,6699636646.320738,1.12495,50.86224,52.541274
0.79269,6414835661.58486,2.17061,45.883902,48.14026
0.580028,1192633087.2691646,1.7194,13.243945,59.727643
0.463913,1172749216.5507193,4.10157,11.282587,59.271336
0.771688,2551379175.0189962,1.40782,27.160956,48.954423
0.114689,1389603685.2513885,1.00405,0.393425,41.83938
0.492169,4619298189.752735,1.87208,45.126734,58.863665
0.782566,1527787200.9042706,9.5671,22.192168,49.779533
0.844196,1758334802.2549636,9.48835,22.619945,46.552221
0.299281,4478090760.534009,10.5356,43.090901,57.400939
0.134794,3704859298.3288884,1.38305,15.627479,45.082891
0.492304,2822853584.669414,2.35203,32.037561,59.308632
0.874418,1102213080.621259,5.22682,16.197991,44.841171
0.600888,3252279629.1342983,3.17575,38.382004,60.151979
0.614501,4482943825.737379,11.3372,48.381681,61.28239
0.258117,3732043933.818157,0.908595,24.200226,48.404921
0.603131,6152155601.896967,2.3505,55.500246,59.666382
0.64508,4456700789.878111,7.46039,46.255325,58.851979
0.132035,2809334692.248903,13.4288,25.720995,54.239704
0.822605,1865353618.089635,2.03884,21.769597,46.652609
0.48522,6911078557.28999,7.41451,60.701632,61.290061
0.577947,5943091105.760699,7.33262,56.641338,61.898932
0.741327,3834401692.8593755,0.928464,35.531629,50.444386
0.757055,5656735432.438428,6.95734,45.751548,51.125868
0.321758,5822024652.544218,0.851911,43.437314,50.534373
0.583675,3692635241.404938,5.19501,42.690729,61.287311
0.292277,5150895284.429529,4.77764,44.331042,54.959383
0.499205,4681048260.061863,3.3835,47.172941,60.195822
0.314123,5928228168.671654,13.1248,52.483462,58.206441
0.122975,2744417680.236271,1.1922,3.005437,43.560661
0.335956,4619621925.835759,10.6711,44.655456,57.824164
0.802845,6562044091.545918,3.70631,46.380667,48.022598
0.590839,1584539284.487217,2.24914,21.428225,59.933182
0.247275,4581273423.193247,0.963385,31.84866,48.071363
0.64779,6443287606.283608,6.10021,55.898704,58.425788
0.280933,5302809272.090705,2.53407,42.551179,52.692071
0.9381,4819454524.942596,2.69894,33.780826,42.016789
0.193434,4896197704.504223,2.60473,36.500248,49.223081
0.476101,6619478237.763951,8.91571,59.350128,61.332059
0.436211,3867783991.975511,1.45585,36.316022,55.652981
0.604458,5544622611.684289,8.00237,54.115295,61.284095
0.924767,2504107932.729437,3.47256,24.209202,42.809307
0.35718,6636787980.8141985,2.58286,52.306843,54.338822
0.902481,1931855718.955799,0.928596,20.150289,42.960432
0.713007,4534165673.544602,9.43308,43.353434,54.37593
0.920678,3940571187.8583865,1.16073,30.519288,42.483762
0.183447,3367674362.683181,10.4576,31.317392,53.696537
0.577309,1411402047.3518147,3.3371,20.328932,60.749058
0.716314,2607716196.210928,1.72022,29.44617,52.564393
0.431785,6010722802.411061,4.24858,52.685966,57.805286
0.436162,4785865397.616825,1.23912,42.38872,55.288964
0.48157,2898486579.1818943,1.98171,31.674984,58.579479
0.171921,3694603378.269063,3.63479,27.851282,50.460649
0.916758,6315652469.545995,3.33456,40.552299,43.138126
0.91612,1725008036.144865,3.27896,19.830741,43.15488
0.525604,2824219007.399928,7.86816,36.813631,62.161911
0.226159,5425524712.379089,14.0003,47.661863,55.846027
0.998234,3507084325.583898,6.15632,26.27058,39.085618
0.798325,5917904716.947331,0.906618,42.961623,47.240551
0.4903,4613863084.213839,13.9771,49.841655,62.633418
0.477939,4732844496.189523,1.14481,43.978007,57.313348
0.982766,4109552700.7472615,1.31711,28.574586,39.21711
0.949729,1921439360.228271,1.50058,19.544466,41.113794
0.28983,5531571348.26678,5.58682,47.232942,55.353546
0.314224,1478090428.7019873,2.00206,3.625778,52.891535
0.835065,2596482290.2272196,10.9614,28.190543,47.098231
0.128213,3056160997.528123,2.51537,10.792849,47.396472
0.321604,2077926198.68022,4.81353,19.398043,55.519964
0.605469,1063565232.4182234,2.97185,14.847621,59.905216
0.218886,3635115065.3666124,6.19545,32.23425,53.136554
0.351647,4779484130.886232,1.68334,39.898192,53.093936
0.575242,5337265977.043411,5.68779,53.109771,61.569997
0.727987,5525480441.427694,7.86353,47.076811,53.193301
0.345019,4840201407.200695,11.9262,46.592602,58.175303
0.304582,1027581653.762104,2.83558,2.156395,53.709366
0.344782,2992163594.647666,1.65798,24.618325,52.922441
0.304504,2326804808.105848,1.09858,8.766569,50.868786
0.697351,2881462182.31705,5.10381,33.716081,54.776924
0.420259,3319366376.0086284,1.33849,30.683559,54.647447
0.107871,1959435814.6106768,1.31954,0.943073,42.695208
0.496326,3263108836.436134,0.908632,32.920393,57.593259
0.143115,3183139545.3839254,3.17623,18.451542,48.976344
0.840151,4867005018.875267,0.965731,37.033882,45.353377
0.70452,1029297067.9614428,3.45417,15.913255,53.95919
0.449241,2735362884.176229,5.42321,32.449438,59.160453
0.288547,6994839494.476775,2.6404,53.026345,53.07627
0.144039,1505017870.5202653,7.20463,4.638731,52.178756
0.606022,6239691076.186258,2.21514,55.763756,59.48593
0.44649,6889842504.518991,9.6788,59.636563,60.247052
0.459518,6485326170.649476,2.3779,55.195252,57.931876
0.289238,5399162640.962137,1.21815,40.867555,50.715779
0.526321,5382312840.335186,1.88176,50.869162,59.685758
0.821863,5685962845.610062,7.95395,42.665851,47.577585
0.557589,1087043437.594176,2.0634,10.624762,60.13783
0.268174,2848841179.585354,3.11131,23.122403,52.833875
0.849208,6727705169.737612,2.9887,44.66912,45.623302
0.792923,3372316568.823436,11.6819,33.854398,49.338005
0.31815,3906144623.3012996,12.7335,40.385892,58.162865
0.642377,5153754742.49152,4.95852,49.579958,58.55297
0.373438,2314236471.3160067,6.9896,26.352628,57.135026
0.147042,2868170292.063017,1.93776,8.531655,47.144259
0.532624,2823206552.7477818,2.00442,32.94504,59.89536
0.94844,2767507055.765686,4.855,25.022677,41.68067
0.583075,6416953978.732609,0.955725,55.848639,58.81871
0.288595,2458669498.437189,2.32457,17.2589,52.69019
0.845528,6824105391.256422,8.56781,45.785111,46.426525
0.259927,6326747479.543897,6.16832,51.022582,54.611208
0.269284,2528604491.2758226,0.963326,7.977219,49.133465
0.657975,1082568315.9374166,14.7953,21.443739,58.690704
0.248072,4343190152.202092,0.915824,29.607635,47.937849
0.102844,4982467365.09227,3.39931,32.773596,47.743544
0.286189,4410481477.591327,14.0209,43.398324,57.927328
0.307916,3043596328.1819773,1.57595,23.051382,52.043944
0.440965,4890761465.602958,2.5327,45.275179,57.123089
0.359937,1536120721.3589876,1.51887,4.153552,52.9839
0.877517,2323326390.341055,1.33514,23.470597,43.98164
0.863905,4873961950.097634,3.20572,37.083428,45.010602
0.601591,3801282650.2160983,12.8849,44.891032,62.035068
0.805827,4738925715.718677,9.05661,39.576933,48.492249
0.217477,6984546135.690519,0.890475,46.418702,46.582381
0.793218,5838084084.2246475,1.65407,43.352392,47.917991
0.833317,4134365177.11741,1.88522,34.49878,46.086767
0.378743,1568766214.1763678,11.1749,20.897426,58.356887
0.122516,3522171204.776223,6.83996,26.71719,51.410092
0.763581,1879261779.4772224,3.68432,23.879183,50.197228
0.822483,6676098694.087187,1.31758,45.193242,46.372595
0.583072,1541036965.4886677,2.11132,20.427971,59.988866
0.204195,5617497292.37344,7.81783,46.318595,53.686685
0.722991,3522852556.3365035,2.54117,35.815934,52.504255
0.125307,3991427930.6903334,7.58151,32.217962,51.918584
0.422865,5466865984.34389,2.00964,47.407662,55.707336
0.569202,5108508855.583635,1.63327,49.477807,59.747585
0.956711,3925679408.9569087,1.16396,28.968774,40.608038
0.13737,2904959485.1506214,1.69218,6.806628,46.101168
0.858702,6455991968.364515,4.36715,43.563662,45.414253
0.957557,1362629886.0819871,2.56343,16.146961,40.87932
0.861932,5735851413.112916,8.4821,41.169586,45.647611
0.42501,2274846393.217426,0.806637,15.883132,53.703294
0.865827,2340878543.205916,1.35424,23.817078,44.446711
0.645065,3123318519.523823,6.06786,37.64346,58.609049
0.991958,2995495730.170576,9.74918,24.70633,39.511033
0.265582,2776696915.888363,1.88155,18.402635,51.137299
0.74742,5042626686.34252,1.3099,41.917157,50.363418
0.235403,3767370639.9718904,1.04612,24.027356,47.804069
0.13531,3936715777.437013,3.40527,27.139978,48.950466
0.7681,1826246814.8137698,3.7756,23.432154,49.938008
0.550175,5472358412.054282,2.25881,52.117983,60.263465
0.405654,2115714267.567671,1.79427,17.753533,54.695753
0.811377,3146062334.6806912,9.97975,31.833355,48.271862
0.680833,4779377577.478576,1.17466,43.658777,54.319309
0.548702,6931047251.662846,0.946521,58.414808,58.821029
0.222394,4000435341.9432454,7.45234,35.927831,53.805526
0.896072,2629445211.3220615,6.41338,26.254668,44.116104
0.153354,2091423780.8318548,1.96826,3.112948,47.47246
0.46615,4714334356.979483,8.36539,48.42187,60.811076
0.641858,5836992040.927014,2.07113,51.981072,57.537039
0.856178,3872932164.249694,12.0196,34.04214,46.109587
0.685884,3939468321.164038,2.84832,39.943517,54.920597
0.238744,2119713409.6997092,6.34036,17.53431,53.844567
0.911146,4032267986.0116796,5.49058,32.227306,43.584902
0.8057,5502987976.660595,1.8087,41.47666,47.387553
0.496949,6661963683.115672,2.87744,58.002023,59.832688
0.963043,6738049164.582268,2.99998,39.492531,40.620017
0.851709,3582338454.8076854,2.07122,31.384777,45.292918
0.566266,4124436015.7390995,1.36146,42.867117,59.476949
0.432549,5989202799.502968,10.0821,54.658004,59.718271
0.128859,5264571914.810434,11.5388,43.877773,53.640538
0.582953,1340018829.84792,1.17216,14.15672,59.123066
0.22163,6842921629.693455,1.3216,46.980325,48.094941
0.722003,3800759063.517175,1.65842,36.870049,52.175057
0.950946,1704215492.4117007,1.50025,18.11303,41.044176
0.357522,6183051039.136717,1.8868,49.01745,53.51307
0.715409,4221260666.8577623,9.63718,41.680271,54.235353
0.1296,4985807521.147579,13.8253,43.062248,54.334924
0.302276,4653831022.87597,2.17554,38.35567,52.875117
