# BHAC15 tracks for low mass stars (0.07 Msun to 1.4 Msun)
#
# L/Ls: log L/Lsun
# g: log g
# R/Rs : R/Rsun
# Li/Li0: ratio of surface lithium abundance to initial abundance
#
#------------------------------------------------------------
# M/Ms    log t(yr)  Teff      L/Ls    g    R/Rs   Li/Li0
#------------------------------------------------------------
 0.100     7.799     3025.   -2.458  4.772  0.215  0.066  
 0.100     7.809     3024.   -2.465  4.779  0.214  0.041  
 0.100     7.819     3022.   -2.472  4.785  0.212  0.023  
 0.100     7.829     3021.   -2.480  4.792  0.210  0.012  
 0.100     7.839     3020.   -2.487  4.798  0.209  0.006  
 0.100     7.849     3018.   -2.494  4.805  0.207  0.002  
 0.100     7.859     3017.   -2.502  4.811  0.206  0.001  
 0.100     7.869     3016.   -2.509  4.818  0.204  0.000  
 0.100     7.879     3014.   -2.517  4.825  0.203  0.000  
 0.100     7.891     3012.   -2.525  4.832  0.201  0.000  
 0.100     7.902     3011.   -2.533  4.839  0.199  0.000  
 0.100     7.913     3009.   -2.541  4.846  0.198  0.000  
 0.100     7.920     3008.   -2.546  4.851  0.197  0.000  
 0.100     7.934     3006.   -2.557  4.860  0.195  0.000  
 0.100     7.941     3004.   -2.562  4.864  0.194  0.000  
 0.100     7.955     3002.   -2.572  4.873  0.192  0.000  
 0.100     7.962     3001.   -2.577  4.877  0.191  0.000  
 0.100     7.976     2998.   -2.588  4.886  0.189  0.000  
 0.100     7.983     2997.   -2.593  4.891  0.188  0.000  
 0.100     7.990     2996.   -2.598  4.895  0.187  0.000  
 0.100     8.004     2993.   -2.608  4.904  0.185  0.000  
 0.100     8.011     2992.   -2.614  4.909  0.184  0.000  
 0.100     8.025     2989.   -2.624  4.918  0.182  0.000  
 0.100     8.032     2988.   -2.629  4.922  0.181  0.000  
 0.100     8.040     2986.   -2.635  4.926  0.180  0.000  
 0.100     8.054     2984.   -2.645  4.935  0.178  0.000  
 0.100     8.061     2982.   -2.650  4.940  0.177  0.000  
 0.100     8.076     2979.   -2.661  4.949  0.176  0.000  
 0.100     8.083     2978.   -2.666  4.953  0.175  0.000  
 0.100     8.090     2976.   -2.672  4.958  0.174  0.000  
 0.100     8.105     2974.   -2.682  4.967  0.172  0.000  
 0.100     8.112     2972.   -2.688  4.971  0.171  0.000  
 0.100     8.119     2971.   -2.693  4.975  0.170  0.000  
 0.100     8.134     2967.   -2.704  4.984  0.168  0.000  
 0.100     8.142     2966.   -2.709  4.989  0.168  0.000  
 0.100     8.156     2963.   -2.720  4.998  0.166  0.000  
 0.100     8.164     2961.   -2.725  5.002  0.165  0.000  
 0.100     8.171     2959.   -2.731  5.007  0.164  0.000  
 0.100     8.186     2956.   -2.742  5.016  0.163  0.000  
 0.100     8.194     2954.   -2.747  5.020  0.162  0.000  
 0.100     8.202     2952.   -2.753  5.024  0.161  0.000  
 0.100     8.209     2950.   -2.758  5.029  0.160  0.000  
 0.100     8.224     2946.   -2.769  5.038  0.158  0.000  
 0.100     8.232     2944.   -2.775  5.042  0.158  0.000  
 0.100     8.240     2942.   -2.780  5.047  0.157  0.000  
 0.100     8.256     2938.   -2.792  5.055  0.155  0.000  
 0.100     8.263     2936.   -2.797  5.060  0.154  0.000  
 0.100     8.271     2934.   -2.803  5.064  0.154  0.000  
 0.100     8.279     2932.   -2.808  5.068  0.153  0.000  
 0.100     8.295     2928.   -2.820  5.077  0.151  0.000  
 0.100     8.303     2926.   -2.825  5.082  0.151  0.000  
 0.100     8.311     2923.   -2.831  5.086  0.150  0.000  
 0.100     8.320     2921.   -2.837  5.090  0.149  0.000  
 0.100     8.336     2916.   -2.848  5.099  0.148  0.000  
 0.100     8.345     2914.   -2.854  5.103  0.147  0.000  
 0.100     8.353     2912.   -2.860  5.108  0.146  0.000  
 0.100     8.362     2909.   -2.865  5.112  0.145  0.000  
 0.100     8.370     2907.   -2.871  5.116  0.145  0.000  
 0.100     8.388     2902.   -2.883  5.125  0.143  0.000  
 0.100     8.397     2900.   -2.888  5.129  0.143  0.000  
 0.100     8.406     2897.   -2.894  5.133  0.142  0.000  
 0.100     8.415     2894.   -2.900  5.138  0.141  0.000  
 0.100     8.424     2891.   -2.906  5.142  0.141  0.000  
 0.100     8.434     2888.   -2.912  5.146  0.140  0.000  
 0.100     8.443     2886.   -2.918  5.150  0.139  0.000  
 0.100     8.453     2883.   -2.924  5.155  0.139  0.000  
 0.100     8.463     2880.   -2.930  5.159  0.138  0.000  
 0.100     8.474     2877.   -2.936  5.163  0.137  0.000  
 0.100     8.484     2874.   -2.942  5.167  0.137  0.000  
 0.100     8.495     2871.   -2.948  5.171  0.136  0.000  
 0.100     8.506     2868.   -2.954  5.176  0.135  0.000  
 0.100     8.517     2865.   -2.960  5.180  0.135  0.000  
 0.100     8.529     2862.   -2.966  5.184  0.134  0.000  
 0.100     8.541     2859.   -2.972  5.188  0.133  0.000  
 0.100     8.553     2856.   -2.978  5.192  0.133  0.000  
 0.100     8.566     2853.   -2.984  5.196  0.132  0.000  
 0.100     8.579     2850.   -2.989  5.200  0.131  0.000  
 0.100     8.592     2847.   -2.995  5.204  0.131  0.000  
 0.100     8.605     2844.   -3.000  5.207  0.130  0.000  
 0.100     8.617     2842.   -3.005  5.210  0.130  0.000  
 0.100     8.630     2839.   -3.009  5.213  0.129  0.000  
 0.100     8.642     2837.   -3.013  5.216  0.129  0.000  
 0.100     8.654     2835.   -3.017  5.219  0.129  0.000  
 0.100     8.666     2833.   -3.021  5.221  0.128  0.000  
 0.100     8.677     2831.   -3.025  5.224  0.128  0.000  
 0.100     8.689     2829.   -3.028  5.226  0.128  0.000  
 0.100     8.700     2828.   -3.031  5.228  0.127  0.000  
 0.100     8.711     2826.   -3.033  5.229  0.127  0.000  
 0.100     8.722     2825.   -3.036  5.231  0.127  0.000  
 0.100     8.733     2823.   -3.038  5.233  0.127  0.000  
 0.100     8.744     2822.   -3.040  5.234  0.126  0.000  
 0.100     8.754     2821.   -3.042  5.235  0.126  0.000  
 0.100     8.764     2820.   -3.044  5.237  0.126  0.000  
 0.100     8.774     2819.   -3.046  5.238  0.126  0.000  
 0.100     8.786     2818.   -3.048  5.239  0.126  0.000  
 0.100     8.800     2817.   -3.049  5.240  0.126  0.000  
 0.100     8.815     2816.   -3.051  5.241  0.125  0.000  
 0.100     8.834     2815.   -3.053  5.242  0.125  0.000  
 0.100     8.853     2814.   -3.055  5.244  0.125  0.000  
 0.100     8.872     2813.   -3.056  5.244  0.125  0.000  
 0.100     8.890     2812.   -3.058  5.245  0.125  0.000  
 0.100     8.908     2812.   -3.059  5.246  0.125  0.000  
 0.100     8.924     2811.   -3.059  5.246  0.125  0.000  
 0.100     8.940     2811.   -3.060  5.247  0.125  0.000  
 0.100     8.956     2811.   -3.060  5.247  0.125  0.000  
 0.100     8.971     2811.   -3.061  5.247  0.124  0.000  
 0.100     8.985     2810.   -3.061  5.248  0.124  0.000  
 0.100     8.999     2810.   -3.061  5.248  0.124  0.000  
 0.100     9.013     2810.   -3.062  5.248  0.124  0.000  
 0.100     9.026     2810.   -3.062  5.248  0.124  0.000  
 0.100     9.039     2810.   -3.062  5.248  0.124  0.000  
 0.100     9.051     2810.   -3.062  5.248  0.124  0.000  
 0.100     9.063     2810.   -3.062  5.248  0.124  0.000  
 0.100     9.075     2810.   -3.062  5.248  0.124  0.000  
 0.100     9.087     2810.   -3.062  5.248  0.124  0.000  
 0.100     9.098     2810.   -3.062  5.248  0.124  0.000  
 0.100     9.108     2810.   -3.062  5.248  0.124  0.000  
 0.100     9.119     2810.   -3.062  5.248  0.124  0.000  
 0.100     9.129     2810.   -3.062  5.248  0.124  0.000  
 0.100     9.140     2810.   -3.062  5.248  0.124  0.000  
 0.100     9.149     2810.   -3.062  5.248  0.124  0.000  
 0.100     9.159     2810.   -3.062  5.248  0.124  0.000  
 0.100     9.168     2810.   -3.062  5.248  0.124  0.000  
 0.100     9.178     2810.   -3.062  5.248  0.124  0.000  
 0.100     9.187     2810.   -3.062  5.248  0.124  0.000  
 0.100     9.196     2810.   -3.062  5.248  0.124  0.000  
 0.100     9.204     2810.   -3.062  5.248  0.124  0.000  
 0.100     9.213     2810.   -3.062  5.248  0.124  0.000  
 0.100     9.221     2810.   -3.062  5.248  0.124  0.000  
 0.100     9.229     2810.   -3.062  5.248  0.124  0.000  
 0.100     9.237     2810.   -3.062  5.248  0.124  0.000  
 0.100     9.245     2810.   -3.062  5.248  0.124  0.000  
 0.100     9.253     2810.   -3.062  5.248  0.124  0.000  
 0.100     9.261     2810.   -3.062  5.248  0.124  0.000  
 0.100     9.268     2810.   -3.062  5.248  0.124  0.000  
 0.100     9.276     2810.   -3.062  5.248  0.124  0.000  
 0.100     9.283     2810.   -3.062  5.248  0.124  0.000  
 0.100     9.290     2810.   -3.062  5.248  0.124  0.000  
 0.100     9.297     2810.   -3.062  5.248  0.124  0.000  
 0.100     9.304     2810.   -3.062  5.248  0.124  0.000  
 0.100     9.311     2810.   -3.062  5.248  0.124  0.000  
 0.100     9.317     2810.   -3.062  5.248  0.124  0.000  
 0.100     9.324     2810.   -3.062  5.248  0.124  0.000  
 0.100     9.330     2810.   -3.062  5.248  0.124  0.000  
 0.100     9.337     2810.   -3.062  5.248  0.124  0.000  
 0.100     9.343     2810.   -3.062  5.248  0.124  0.000  
 0.100     9.349     2810.   -3.062  5.248  0.124  0.000  
 0.100     9.355     2810.   -3.062  5.248  0.124  0.000  
 0.100     9.361     2810.   -3.062  5.248  0.124  0.000  
 0.100     9.367     2810.   -3.062  5.248  0.124  0.000  
 0.100     9.373     2810.   -3.062  5.248  0.124  0.000  
 0.100     9.379     2810.   -3.062  5.248  0.124  0.000  
 0.100     9.385     2810.   -3.062  5.248  0.124  0.000  
 0.100     9.390     2810.   -3.062  5.248  0.124  0.000  
 0.100     9.396     2810.   -3.062  5.248  0.124  0.000  
 0.100     9.401     2810.   -3.062  5.248  0.124  0.000  
 0.100     9.407     2810.   -3.062  5.248  0.124  0.000  
 0.100     9.412     2810.   -3.062  5.248  0.124  0.000  
 0.100     9.417     2810.   -3.062  5.248  0.124  0.000  
 0.100     9.423     2810.   -3.062  5.248  0.124  0.000  
 0.100     9.428     2810.   -3.062  5.248  0.124  0.000  
 0.100     9.433     2810.   -3.062  5.248  0.124  0.000  
 0.100     9.438     2810.   -3.062  5.248  0.124  0.000  
 0.100     9.443     2810.   -3.062  5.248  0.124  0.000  
 0.100     9.448     2810.   -3.062  5.248  0.124  0.000  
 0.100     9.453     2810.   -3.062  5.248  0.124  0.000  
 0.100     9.462     2810.   -3.062  5.248  0.124  0.000  
 0.100     9.472     2810.   -3.062  5.248  0.124  0.000  
 0.100     9.481     2810.   -3.062  5.248  0.124  0.000  
 0.100     9.490     2810.   -3.062  5.248  0.124  0.000  
 0.100     9.503     2810.   -3.062  5.248  0.124  0.000  
 0.100     9.512     2810.   -3.062  5.248  0.124  0.000  
 0.100     9.520     2810.   -3.062  5.248  0.124  0.000  
 0.100     9.532     2810.   -3.062  5.248  0.124  0.000  
 0.100     9.540     2810.   -3.062  5.248  0.124  0.000  
 0.100     9.552     2810.   -3.062  5.248  0.124  0.000  
 0.100     9.560     2810.   -3.062  5.248  0.124  0.000  
 0.100     9.571     2810.   -3.062  5.248  0.124  0.000  
 0.100     9.582     2810.   -3.062  5.248  0.124  0.000  
 0.100     9.589     2811.   -3.062  5.248  0.124  0.000  
 0.100     9.600     2811.   -3.062  5.248  0.124  0.000  
 0.100     9.610     2811.   -3.062  5.248  0.124  0.000  
 0.100     9.620     2811.   -3.062  5.248  0.124  0.000  
 0.100     9.630     2811.   -3.062  5.248  0.124  0.000  
 0.100     9.639     2811.   -3.062  5.248  0.124  0.000  
 0.100     9.652     2811.   -3.062  5.248  0.124  0.000  
 0.100     9.661     2811.   -3.062  5.248  0.124  0.000  
 0.100     9.670     2811.   -3.062  5.248  0.124  0.000  
 0.100     9.681     2811.   -3.062  5.248  0.124  0.000  
 0.100     9.690     2811.   -3.061  5.248  0.124  0.000  
 0.100     9.701     2811.   -3.061  5.248  0.124  0.000  
 0.100     9.709     2811.   -3.061  5.248  0.124  0.000  
 0.100     9.720     2811.   -3.061  5.248  0.124  0.000  
 0.100     9.730     2811.   -3.061  5.248  0.124  0.000  
 0.100     9.740     2811.   -3.061  5.248  0.124  0.000  
 0.100     9.750     2811.   -3.061  5.248  0.124  0.000  
 0.100     9.760     2811.   -3.061  5.248  0.124  0.000  
 0.100     9.769     2811.   -3.061  5.248  0.124  0.000  
 0.100     9.781     2811.   -3.061  5.248  0.124  0.000  
 0.100     9.790     2811.   -3.061  5.248  0.124  0.000  
 0.100     9.801     2811.   -3.061  5.248  0.124  0.000  
 0.100     9.809     2811.   -3.061  5.248  0.124  0.000  
 0.100     9.820     2811.   -3.061  5.248  0.124  0.000  
 0.100     9.830     2811.   -3.061  5.248  0.124  0.000  
 0.100     9.840     2811.   -3.061  5.248  0.124  0.000  
 0.100     9.850     2812.   -3.061  5.248  0.124  0.000  
 0.100     9.860     2812.   -3.061  5.248  0.124  0.000  
 0.100     9.869     2812.   -3.061  5.248  0.124  0.000  
 0.100     9.880     2812.   -3.061  5.248  0.124  0.000  
 0.100     9.889     2812.   -3.061  5.248  0.124  0.000  
 0.100     9.900     2812.   -3.061  5.248  0.124  0.000  
 0.100     9.910     2812.   -3.061  5.248  0.124  0.000  
 0.100     9.920     2812.   -3.061  5.248  0.124  0.000  
 0.100     9.930     2812.   -3.060  5.248  0.124  0.000  
 0.100     9.939     2812.   -3.060  5.248  0.124  0.000  
 0.100     9.950     2812.   -3.060  5.248  0.124  0.000  
 0.100     9.960     2812.   -3.060  5.248  0.124  0.000  
 0.100     9.970     2812.   -3.060  5.248  0.124  0.000  
 0.100     9.980     2812.   -3.060  5.248  0.124  0.000  
 0.100     9.990     2812.   -3.060  5.248  0.124  0.000  
 0.100    10.000     2812.   -3.060  5.248  0.124  0.000  
#
#------------------------------------------------------------
# M/Ms    log t(yr)  Teff      L/Ls    g    R/Rs   Li/Li0
#------------------------------------------------------------
 0.200     5.694     3220.   -0.539  3.262  1.731  1.000  
 0.200     5.703     3220.   -0.540  3.264  1.728  1.000  
 0.200     5.713     3220.   -0.541  3.265  1.725  1.000  
 0.200     5.721     3220.   -0.543  3.266  1.722  1.000  
 0.200     5.730     3220.   -0.544  3.268  1.719  1.000  
 0.200     5.745     3220.   -0.547  3.271  1.714  1.000  
 0.200     5.753     3221.   -0.548  3.272  1.711  1.000  
 0.200     5.760     3221.   -0.549  3.273  1.708  1.000  
 0.200     5.773     3221.   -0.552  3.276  1.703  1.000  
 0.200     5.780     3221.   -0.553  3.278  1.700  1.000  
 0.200     5.792     3221.   -0.556  3.280  1.695  1.000  
 0.200     5.803     3222.   -0.558  3.283  1.690  1.000  
 0.200     5.814     3222.   -0.561  3.286  1.684  1.000  
 0.200     5.823     3222.   -0.563  3.288  1.679  1.000  
 0.200     5.833     3222.   -0.566  3.291  1.674  1.000  
 0.200     5.841     3222.   -0.568  3.294  1.669  1.000  
 0.200     5.849     3223.   -0.571  3.296  1.664  1.000  
 0.200     5.861     3223.   -0.575  3.300  1.657  1.000  
 0.200     5.871     3223.   -0.578  3.304  1.650  1.000  
 0.200     5.881     3223.   -0.582  3.307  1.643  1.000  
 0.200     5.890     3224.   -0.585  3.311  1.636  1.000  
 0.200     5.900     3224.   -0.590  3.316  1.627  1.000  
 0.200     5.910     3224.   -0.594  3.320  1.618  1.000  
 0.200     5.921     3224.   -0.600  3.326  1.608  1.000  
 0.200     5.931     3225.   -0.605  3.332  1.598  1.000  
 0.200     5.940     3225.   -0.610  3.337  1.588  1.000  
 0.200     5.949     3225.   -0.616  3.343  1.577  1.000  
 0.200     5.960     3225.   -0.624  3.351  1.563  1.000  
 0.200     5.970     3226.   -0.631  3.358  1.550  1.000  
 0.200     5.979     3226.   -0.639  3.366  1.536  1.000  
 0.200     5.989     3226.   -0.647  3.374  1.521  1.000  
 0.200     5.999     3226.   -0.657  3.384  1.505  1.000  
 0.200     6.009     3226.   -0.667  3.394  1.487  1.000  
 0.200     6.019     3226.   -0.677  3.404  1.470  1.000  
 0.200     6.029     3226.   -0.688  3.415  1.452  1.000  
 0.200     6.039     3225.   -0.699  3.425  1.434  1.000  
 0.200     6.050     3225.   -0.711  3.437  1.415  1.000  
 0.200     6.063     3224.   -0.725  3.451  1.392  1.000  
 0.200     6.072     3224.   -0.735  3.460  1.378  1.000  
 0.200     6.081     3223.   -0.744  3.470  1.363  1.000  
 0.200     6.090     3222.   -0.754  3.479  1.348  1.000  
 0.200     6.099     3221.   -0.764  3.488  1.334  1.000  
 0.200     6.113     3220.   -0.778  3.502  1.313  1.000  
 0.200     6.122     3220.   -0.788  3.512  1.299  1.000  
 0.200     6.132     3219.   -0.798  3.521  1.285  1.000  
 0.200     6.141     3218.   -0.807  3.530  1.271  1.000  
 0.200     6.151     3217.   -0.817  3.539  1.258  1.000  
 0.200     6.161     3217.   -0.827  3.549  1.244  1.000  
 0.200     6.171     3216.   -0.837  3.558  1.231  1.000  
 0.200     6.181     3215.   -0.846  3.567  1.218  1.000  
 0.200     6.191     3214.   -0.856  3.577  1.205  1.000  
 0.200     6.201     3213.   -0.866  3.586  1.192  1.000  
 0.200     6.211     3212.   -0.876  3.595  1.180  1.000  
 0.200     6.222     3210.   -0.886  3.604  1.167  1.000  
 0.200     6.232     3209.   -0.896  3.614  1.155  1.000  
 0.200     6.243     3208.   -0.906  3.623  1.142  1.000  
 0.200     6.254     3207.   -0.915  3.632  1.130  1.000  
 0.200     6.259     3206.   -0.920  3.637  1.124  1.000  
 0.200     6.270     3205.   -0.930  3.646  1.112  1.000  
 0.200     6.281     3204.   -0.940  3.655  1.100  1.000  
 0.200     6.292     3203.   -0.950  3.665  1.089  1.000  
 0.200     6.303     3202.   -0.960  3.674  1.077  1.000  
 0.200     6.309     3202.   -0.965  3.679  1.071  1.000  
 0.200     6.320     3201.   -0.975  3.688  1.060  1.000  
 0.200     6.332     3200.   -0.984  3.697  1.049  1.000  
 0.200     6.343     3199.   -0.994  3.707  1.037  1.000  
 0.200     6.349     3199.   -0.999  3.711  1.032  1.000  
 0.200     6.361     3198.   -1.009  3.721  1.021  1.000  
 0.200     6.373     3198.   -1.018  3.730  1.010  1.000  
 0.200     6.384     3197.   -1.028  3.739  0.999  1.000  
 0.200     6.390     3197.   -1.033  3.744  0.994  1.000  
 0.200     6.402     3197.   -1.042  3.753  0.983  1.000  
 0.200     6.414     3196.   -1.052  3.763  0.973  1.000  
 0.200     6.420     3196.   -1.057  3.767  0.967  1.000  
 0.200     6.432     3196.   -1.066  3.777  0.957  1.000  
 0.200     6.445     3196.   -1.075  3.786  0.947  1.000  
 0.200     6.451     3196.   -1.080  3.791  0.942  1.000  
 0.200     6.463     3196.   -1.089  3.800  0.932  1.000  
 0.200     6.469     3196.   -1.094  3.805  0.926  1.000  
 0.200     6.481     3196.   -1.103  3.814  0.917  1.000  
 0.200     6.494     3197.   -1.112  3.824  0.907  1.000  
 0.200     6.500     3197.   -1.117  3.828  0.902  1.000  
 0.200     6.512     3198.   -1.126  3.838  0.892  1.000  
 0.200     6.525     3198.   -1.135  3.847  0.882  1.000  
 0.200     6.531     3199.   -1.140  3.852  0.878  1.000  
 0.200     6.543     3200.   -1.148  3.861  0.868  1.000  
 0.200     6.550     3200.   -1.153  3.866  0.864  1.000  
 0.200     6.562     3201.   -1.162  3.875  0.854  1.000  
 0.200     6.575     3203.   -1.171  3.885  0.845  1.000  
 0.200     6.581     3203.   -1.175  3.890  0.840  1.000  
 0.200     6.593     3205.   -1.184  3.899  0.831  1.000  
 0.200     6.600     3205.   -1.188  3.904  0.827  1.000  
 0.200     6.612     3207.   -1.197  3.913  0.818  1.000  
 0.200     6.625     3208.   -1.205  3.923  0.809  1.000  
 0.200     6.631     3209.   -1.210  3.928  0.805  1.000  
 0.200     6.644     3211.   -1.218  3.937  0.796  1.000  
 0.200     6.650     3212.   -1.222  3.942  0.791  1.000  
 0.200     6.663     3214.   -1.231  3.951  0.783  1.000  
 0.200     6.669     3215.   -1.235  3.956  0.779  1.000  
 0.200     6.682     3217.   -1.243  3.965  0.770  1.000  
 0.200     6.695     3219.   -1.252  3.975  0.762  1.000  
 0.200     6.701     3220.   -1.256  3.980  0.758  1.000  
 0.200     6.714     3223.   -1.264  3.989  0.749  1.000  
 0.200     6.720     3224.   -1.268  3.994  0.745  1.000  
 0.200     6.733     3225.   -1.277  4.003  0.737  1.000  
 0.200     6.739     3226.   -1.281  4.008  0.733  1.000  
 0.200     6.752     3226.   -1.290  4.017  0.725  1.000  
 0.200     6.765     3226.   -1.300  4.027  0.718  1.000  
 0.200     6.771     3227.   -1.304  4.032  0.714  1.000  
 0.200     6.784     3227.   -1.313  4.041  0.706  1.000  
 0.200     6.791     3228.   -1.318  4.046  0.702  1.000  
 0.200     6.803     3228.   -1.327  4.055  0.694  1.000  
 0.200     6.810     3228.   -1.332  4.060  0.691  1.000  
 0.200     6.823     3229.   -1.341  4.069  0.683  1.000  
 0.200     6.829     3229.   -1.345  4.074  0.680  1.000  
 0.200     6.842     3230.   -1.354  4.084  0.672  1.000  
 0.200     6.855     3231.   -1.363  4.093  0.665  1.000  
 0.200     6.862     3231.   -1.368  4.098  0.661  1.000  
 0.200     6.874     3232.   -1.377  4.107  0.654  1.000  
 0.200     6.881     3232.   -1.381  4.112  0.651  1.000  
 0.200     6.894     3233.   -1.390  4.121  0.644  1.000  
 0.200     6.900     3233.   -1.395  4.126  0.640  1.000  
 0.200     6.913     3234.   -1.404  4.135  0.633  1.000  
 0.200     6.920     3235.   -1.408  4.140  0.630  1.000  
 0.200     6.933     3235.   -1.417  4.149  0.623  1.000  
 0.200     6.939     3236.   -1.422  4.154  0.620  1.000  
 0.200     6.952     3237.   -1.431  4.163  0.613  1.000  
 0.200     6.965     3238.   -1.440  4.173  0.607  1.000  
 0.200     6.972     3238.   -1.444  4.178  0.603  1.000  
 0.200     6.985     3239.   -1.453  4.187  0.597  1.000  
 0.200     6.991     3239.   -1.457  4.192  0.594  1.000  
 0.200     7.004     3240.   -1.466  4.201  0.587  1.000  
 0.200     7.011     3240.   -1.471  4.206  0.584  1.000  
 0.200     7.024     3241.   -1.480  4.215  0.578  0.999  
 0.200     7.030     3242.   -1.484  4.220  0.575  0.999  
 0.200     7.043     3243.   -1.493  4.229  0.569  0.999  
 0.200     7.050     3243.   -1.498  4.234  0.566  0.999  
 0.200     7.063     3244.   -1.506  4.243  0.559  0.999  
 0.200     7.070     3244.   -1.511  4.248  0.556  0.998  
 0.200     7.083     3245.   -1.520  4.257  0.551  0.998  
 0.200     7.089     3246.   -1.524  4.262  0.548  0.998  
 0.200     7.102     3246.   -1.533  4.271  0.542  0.997  
 0.200     7.115     3247.   -1.542  4.280  0.536  0.996  
 0.200     7.122     3248.   -1.546  4.285  0.533  0.995  
 0.200     7.135     3249.   -1.555  4.294  0.527  0.994  
 0.200     7.141     3249.   -1.560  4.299  0.525  0.993  
 0.200     7.155     3250.   -1.568  4.308  0.519  0.991  
 0.200     7.161     3251.   -1.573  4.313  0.516  0.990  
 0.200     7.174     3252.   -1.582  4.322  0.511  0.987  
 0.200     7.181     3252.   -1.586  4.327  0.508  0.985  
 0.200     7.194     3253.   -1.595  4.336  0.502  0.981  
 0.200     7.200     3254.   -1.599  4.341  0.500  0.978  
 0.200     7.214     3255.   -1.608  4.350  0.494  0.972  
 0.200     7.220     3255.   -1.612  4.355  0.492  0.968  
 0.200     7.231     3256.   -1.619  4.363  0.488  0.961  
 0.200     7.240     3257.   -1.625  4.369  0.484  0.954  
 0.200     7.251     3258.   -1.632  4.377  0.480  0.943  
 0.200     7.259     3259.   -1.638  4.383  0.476  0.932  
 0.200     7.269     3260.   -1.645  4.390  0.472  0.918  
 0.200     7.279     3261.   -1.652  4.397  0.468  0.901  
 0.200     7.289     3262.   -1.658  4.404  0.465  0.881  
 0.200     7.299     3263.   -1.665  4.411  0.461  0.858  
 0.200     7.309     3264.   -1.671  4.419  0.457  0.830  
 0.200     7.319     3265.   -1.678  4.426  0.453  0.796  
 0.200     7.329     3266.   -1.684  4.433  0.450  0.758  
 0.200     7.339     3268.   -1.691  4.440  0.446  0.713  
 0.200     7.349     3269.   -1.697  4.447  0.442  0.663  
 0.200     7.359     3270.   -1.704  4.454  0.439  0.608  
 0.200     7.369     3272.   -1.710  4.462  0.435  0.546  
 0.200     7.379     3273.   -1.717  4.469  0.431  0.479  
 0.200     7.389     3274.   -1.723  4.476  0.428  0.409  
 0.200     7.399     3276.   -1.729  4.483  0.424  0.339  
 0.200     7.409     3278.   -1.736  4.490  0.421  0.269  
 0.200     7.419     3279.   -1.742  4.497  0.417  0.203  
 0.200     7.429     3280.   -1.749  4.505  0.414  0.145  
 0.200     7.439     3280.   -1.756  4.512  0.411  0.096  
 0.200     7.449     3280.   -1.763  4.519  0.407  0.059  
 0.200     7.459     3279.   -1.771  4.526  0.404  0.032  
 0.200     7.469     3279.   -1.778  4.533  0.401  0.016  
 0.200     7.479     3279.   -1.785  4.540  0.397  0.007  
 0.200     7.489     3279.   -1.792  4.547  0.394  0.002  
 0.200     7.499     3279.   -1.799  4.555  0.391  0.001  
 0.200     7.509     3279.   -1.806  4.562  0.388  0.000  
 0.200     7.520     3279.   -1.814  4.569  0.384  0.000  
 0.200     7.530     3279.   -1.821  4.576  0.381  0.000  
 0.200     7.543     3279.   -1.830  4.585  0.377  0.000  
 0.200     7.555     3280.   -1.839  4.594  0.373  0.000  
 0.200     7.562     3280.   -1.843  4.599  0.371  0.000  
 0.200     7.575     3280.   -1.852  4.608  0.367  0.000  
 0.200     7.582     3280.   -1.857  4.613  0.366  0.000  
 0.200     7.596     3280.   -1.866  4.622  0.362  0.000  
 0.200     7.602     3280.   -1.871  4.627  0.360  0.000  
 0.200     7.616     3280.   -1.880  4.636  0.356  0.000  
 0.200     7.622     3280.   -1.885  4.641  0.354  0.000  
 0.200     7.629     3280.   -1.889  4.645  0.352  0.000  
 0.200     7.643     3280.   -1.898  4.655  0.348  0.000  
 0.200     7.649     3280.   -1.903  4.659  0.346  0.000  
 0.200     7.663     3280.   -1.912  4.668  0.343  0.000  
 0.200     7.670     3280.   -1.917  4.673  0.341  0.000  
 0.200     7.683     3280.   -1.926  4.682  0.337  0.000  
 0.200     7.690     3280.   -1.931  4.687  0.336  0.000  
 0.200     7.703     3280.   -1.940  4.696  0.332  0.000  
 0.200     7.710     3280.   -1.945  4.701  0.330  0.000  
 0.200     7.724     3280.   -1.954  4.710  0.327  0.000  
 0.200     7.730     3280.   -1.959  4.715  0.325  0.000  
 0.200     7.744     3280.   -1.968  4.724  0.322  0.000  
 0.200     7.751     3280.   -1.973  4.729  0.320  0.000  
 0.200     7.765     3279.   -1.982  4.738  0.317  0.000  
 0.200     7.771     3279.   -1.987  4.742  0.315  0.000  
 0.200     7.785     3279.   -1.996  4.752  0.312  0.000  
 0.200     7.792     3279.   -2.001  4.756  0.310  0.000  
 0.200     7.806     3278.   -2.010  4.765  0.307  0.000  
 0.200     7.812     3278.   -2.015  4.770  0.305  0.000  
 0.200     7.819     3278.   -2.020  4.775  0.303  0.000  
 0.200     7.833     3277.   -2.029  4.784  0.300  0.000  
 0.200     7.840     3277.   -2.034  4.788  0.299  0.000  
 0.200     7.854     3277.   -2.043  4.797  0.296  0.000  
 0.200     7.861     3276.   -2.048  4.802  0.294  0.000  
 0.200     7.875     3276.   -2.057  4.811  0.291  0.000  
 0.200     7.882     3276.   -2.062  4.816  0.289  0.000  
 0.200     7.889     3276.   -2.067  4.820  0.288  0.000  
 0.200     7.903     3275.   -2.076  4.829  0.285  0.000  
 0.200     7.910     3275.   -2.081  4.834  0.283  0.000  
